Date,Open,High,Low,Close,Volume,Adj Close
2010-10-01,114.99,119.76,113.18,118.49,186276000,111.31
2010-09-01,106.73,115.79,106.66,114.13,205845200,107.21
2010-08-02,111.99,113.18,104.29,105.31,218904700,98.40
2010-07-01,103.15,112.29,101.13,110.27,235498600,103.04
2010-06-01,108.35,113.20,102.88,103.22,272280000,96.45
2010-05-03,119.38,120.68,104.38,109.37,385590600,101.71
2010-04-01,117.80,122.12,117.10,118.81,197956600,110.49
2010-03-01,111.20,118.17,111.17,117.00,176551500,108.81
2010-02-01,108.15,111.58,104.58,110.74,243447400,102.56
2010-01-04,112.37,115.14,107.22,107.39,211448400,99.46
2009-12-01,110.92,113.03,109.02,111.44,135205600,103.21
2009-11-02,104.13,111.74,103.08,109.94,179587000,101.28
2009-10-01,103.00,110.31,101.99,103.56,218514000,95.40
2009-09-01,101.95,108.06,99.57,105.59,192016100,97.27
2009-08-03,99.85,104.35,98.11,102.46,196839300,93.94
2009-07-01,92.34,99.83,87.00,98.81,204691000,90.59
2009-06-01,93.67,96.11,88.85,91.95,240170100,84.30
2009-05-01,87.44,93.70,86.72,92.53,272718800,84.36
2009-04-01,78.53,89.02,78.33,87.42,301163100,79.70
2009-03-02,72.52,83.30,67.10,79.52,417157600,72.50
2009-02-02,81.57,87.74,73.81,73.93,407663300,66.92
2009-01-02,90.44,94.45,80.05,82.83,362760400,74.98
2008-12-01,87.51,92.43,81.86,90.24,323359700,81.69
2008-11-03,96.78,100.86,74.34,90.09,467397100,80.89
2008-10-01,115.27,116.69,83.58,96.83,534504800,86.94
2008-09-02,130.03,130.71,110.53,115.99,401587700,104.15
2008-08-01,127.12,131.51,124.76,128.79,215877300,114.98
2008-07-01,126.52,129.16,120.02,126.83,337891300,113.23
2008-06-02,139.83,140.89,127.04,127.98,269879800,114.25
2008-05-01,138.38,144.30,137.52,140.35,179255100,124.67
2008-04-01,133.61,140.59,132.33,138.26,191956700,122.82
2008-03-03,133.14,135.81,126.07,131.97,281440600,117.23
2008-02-01,137.94,139.61,131.73,133.82,220182200,118.29
2008-01-02,146.53,146.99,126.00,137.37,307167300,121.42
2007-12-03,148.19,152.89,143.96,146.21,170095700,129.24
2007-11-01,153.29,153.41,140.66,148.66,271219900,130.71
